fecha,valor_eur_mwh,concepto,tipo,variable_iseu,extraido_en
2025-03-01T00:30:00.000+01:00,105.36,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T00:45:00.000+01:00,105.36,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T01:00:00.000+01:00,85.2,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T01:15:00.000+01:00,85.2,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T01:30:00.000+01:00,85.2,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T01:45:00.000+01:00,85.2,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T02:00:00.000+01:00,82.49,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T02:15:00.000+01:00,82.49,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T02:30:00.000+01:00,82.49,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T02:45:00.000+01:00,82.49,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T03:00:00.000+01:00,79.17,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T03:15:00.000+01:00,79.17,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T03:30:00.000+01:00,79.17,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T03:45:00.000+01:00,79.17,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T04:00:00.000+01:00,74.21,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T04:15:00.000+01:00,74.21,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T04:30:00.000+01:00,74.21,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T04:45:00.000+01:00,74.21,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T05:00:00.000+01:00,70.75,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T05:15:00.000+01:00,70.75,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T05:30:00.000+01:00,70.75,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T05:45:00.000+01:00,70.75,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T06:00:00.000+01:00,78.52,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T06:15:00.000+01:00,78.52,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T06:30:00.000+01:00,78.52,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T06:45:00.000+01:00,78.52,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T07:00:00.000+01:00,83.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T07:15:00.000+01:00,83.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T07:30:00.000+01:00,83.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T07:45:00.000+01:00,83.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T08:00:00.000+01:00,82.92,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T08:15:00.000+01:00,82.92,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T08:30:00.000+01:00,82.92,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T08:45:00.000+01:00,82.92,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T09:00:00.000+01:00,72,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T09:15:00.000+01:00,72,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
