source,dataset,variable,metric,geo,raw_file,rows,min_period,max_period
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Antequera, Málaga",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Aranda de Duero, Burgos",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Aranjuez, Madrid",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Arcos de la frontera, Cádiz",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Arganda del Rey, Madrid",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Arona, Tenerife",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Arrecife, Las Palmas",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Arteixo, La Coruña",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Arucas, Las Palmas",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Avilés, ASTURIAS",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Badajoz, Badajoz",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Badalona, Barcelona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Barakaldo, Bizkaia",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Barberà del Vallès, Barcelona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Barcelona, Barcelona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Benalmádena, Málaga",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Benidorm, Alicante",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Bilbao, Bizkaia",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Blanes, Girona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Boadilla del Monte, Madrid",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Burgos, Burgos",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Burjassot, Valencia",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Burriana, Castellón/Castelló",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Calpe/Calp, Alicante",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Calvià, ILLES BALEARS",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Camas, Sevilla",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Cambrils, Tarragona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Cartagena, Murcia",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Castelldefels, Barcelona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Castellón de la Plana, Castellón/Castelló",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Castro-Urdiales, Cantabría",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Cerdanyola del Vallès, Barcelona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Ceuta, Ceuta",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Chiclana de la Frontera, Cádiz",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Cieza, Murcia",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Ciudad Real, Ciudad Real",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Ciutadella de Menorca, ILLES BALEARS",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Collado Villalba, Madrid",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Colmenar Viejo, Madrid",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Coria del Río, Sevilla",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Cornellà de Llobregat, Barcelona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
