dataset,column,dtype,non_null,nulls,null_pct,unique,numeric_non_null,sample
bcn_equipamientos_limpio.csv,addresses_road_id,float64,2718,4,0.0015,847,2718,278404.0 | 367402.0 | 367402.0
bcn_equipamientos_limpio.csv,created,str,2722,0,0.0,1229,0,2024-11-11T10:44:08.237141 | 1996-09-18T00:00:00 | 1996-09-18T00:00:00
bcn_equipamientos_limpio.csv,geo_epgs_25831_y,float64,2721,1,0.0004,1815,2721,4583193.044 | 4585391.379 | 4585391.379
bcn_equipamientos_limpio.csv,institution_name,str,224,2498,0.9177,157,0,Clínica Guang An Men de Medicina Tradicional Xinesa | Associació Cultural Escola de Música de Gràcia | Universitat de Barcelona
bcn_equipamientos_limpio.csv,modified,str,2722,0,0.0,1995,0,2024-11-11T10:47:53.442315 | 2026-03-02T14:52:54.231534 | 2026-03-02T14:52:54.231534
bcn_equipamientos_limpio.csv,secondary_filters_asia_id,float64,2004,718,0.2638,27,2004,65103003001003.0 | 65103003000000.0 | 65103003000001.0
bcn_equipamientos_limpio.csv,secondary_filters_fullpath,str,2004,718,0.2638,27,0,Planol BCN >> Educació >> Ensenyament reglat >> Universitats | Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (0-3 anys) | Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys)
bcn_equipamientos_limpio.csv,geo_epgs_4326_lat,float64,2721,1,0.0004,1816,2721,41.3970607319763 | 41.417123318291125 | 41.417123318291125
bcn_equipamientos_limpio.csv,values_description,str,76,2646,0.9721,39,0,Edifici Biscaia (infantil i primària) | Edifici Biscaia (infantil i primària) | Edifici Biscaia (infantil i primària)
bcn_equipamientos_limpio.csv,values_id,float64,2676,46,0.0169,1953,2676,635388.0 | 145599.0 | 145599.0
bcn_equipamientos_limpio.csv,addresses_neighborhood_name,str,2717,5,0.0018,73,0,Sant Gervasi - Galvany | el Guinardó | el Guinardó
bcn_equipamientos_limpio.csv,values_outstanding,object,2676,46,0.0169,2,2676,True | True | True
bcn_equipamientos_limpio.csv,values_attribute_id,float64,2676,46,0.0169,10,2676,20001.0 | 20001.0 | 20001.0
bcn_equipamientos_limpio.csv,variable_iseu,str,2722,0,0.0,1,0,Acceso a salud | Acceso a salud | Acceso a salud
bcn_equipamientos_limpio.csv,dataset_key,str,2722,0,0.0,1,0,bcn_equipamientos | bcn_equipamientos | bcn_equipamientos
bcn_equipamientos_limpio.csv,extraido_en,str,2722,0,0.0,1,0,2026-05-14T00:49:55 | 2026-05-14T00:49:55 | 2026-05-14T00:49:55
bcn_licencias_limpio.csv,seccio_censal,int64,44000,0,0.0,180,44000,57 | 26 | 81
bcn_licencias_limpio.csv,sn_eix,str,44000,0,0.0,2,0,No | Si | No
bcn_licencias_limpio.csv,codi_via,int64,44000,0,0.0,2131,44000,142504 | 350308 | 28000
bcn_licencias_limpio.csv,nom_eix,str,16823,27177,0.6177,29,0,EL Clot | Sant Gervasi | Sant Gervasi
bcn_licencias_limpio.csv,codi_districte,int64,44000,0,0.0,10,44000,3 | 10 | 5
bcn_licencias_limpio.csv,sn_mixtura,str,44000,0,0.0,2,0,No | No | No
bcn_licencias_limpio.csv,codi_activitat_2022,int64,44000,0,0.0,81,44000,30 | 30 | 20
bcn_licencias_limpio.csv,direccio_unica,str,44000,0,0.0,43885,0,"142504, 84-88, LOC 30 | 350308, 640-640, LOC 10 | 028000, 90-90, LOC 10"
bcn_licencias_limpio.csv,id_global,str,44000,0,0.0,44000,0,5f158100-c0b8-45e2-8137-0294791bcbcf | 03a89603-7bb5-423f-b8b5-27c0e2f3b17b | aad63dad-4969-4eff-88cc-514e9e959edd
bcn_licencias_limpio.csv,nom_activitat,str,44000,0,0.0,78,0,Locals buits en venda i lloguer | Locals buits en venda i lloguer | Locals buits en lloguer
bcn_licencias_limpio.csv,codi_principal_activitat,int64,44000,0,0.0,2,44000,0 | 0 | 0
bcn_licencias_limpio.csv,num_policia_inicial,int64,44000,0,0.0,875,44000,84 | 640 | 90
bcn_licencias_limpio.csv,id_bcn_2016,float64,40034,3966,0.0901,40034,40034,45538.0 | 16649.0 | 23980.0
bcn_licencias_limpio.csv,nom_grup_activitat,str,44000,0,0.0,16,0,Grup no definit | Grup no definit | Grup no definit
bcn_licencias_limpio.csv,referencia_cadastral,str,44000,0,0.0,25564,0,8206307DF2880E | 2249707DF3824G | 9038702DF2893G
bcn_licencias_limpio.csv,sn_coworking,str,44000,0,0.0,2,0,No | No | No
bcn_licencias_limpio.csv,solar,float64,43998,2,0.0,25562,43998,115760.0 | 124307.0 | 87046.0
bcn_licencias_limpio.csv,sn_mercat,str,44000,0,0.0,2,0,No | No | No
bcn_licencias_limpio.csv,nom_via,str,44000,0,0.0,2131,0,GAIARRE | VALÈNCIA | VIA AUGUSTA
bcn_licencias_limpio.csv,longitud,float64,44000,0,0.0,31225,44000,2.141149789 | 2.188547105 | 2.150384635
bcn_licencias_limpio.csv,codi_sector_activitat,int64,44000,0,0.0,3,44000,3 | 3 | 2
bcn_licencias_limpio.csv,x_utm_etrs89,float64,44000,0,0.0,43756,44000,428176.942 | 432181.485 | 428980.535
bcn_licencias_limpio.csv,y_utm_etrs89,float64,44000,0,0.0,43745,44000,4580437.121 | 4584756.976 | 4583622.265
bcn_licencias_limpio.csv,sn_ccomercial,str,44000,0,0.0,2,0,No | No | No
bcn_licencias_limpio.csv,sn_carrer,str,44000,0,0.0,2,0,Si | Si | Si
bcn_licencias_limpio.csv,porta,float64,43918,82,0.0019,104,43918,30.0 | 10.0 | 10.0
bcn_licencias_limpio.csv,codi_illa,int64,44000,0,0.0,3303,44000,72524 | 6910 | 31130
bcn_licencias_limpio.csv,planta,str,44000,0,0.0,1,0,LOC | LOC | LOC
bcn_licencias_limpio.csv,sn_servei_degustacio,str,44000,0,0.0,2,0,No | No | No
bcn_licencias_limpio.csv,num_policia_final,float64,43991,9,0.0002,876,43991,88.0 | 640.0 | 90.0
bcn_licencias_limpio.csv,nom_principal_activitat,str,44000,0,0.0,2,0,Sense activitat Econòmica | Sense activitat Econòmica | Sense activitat Econòmica
bcn_licencias_limpio.csv,nom_local,str,44000,0,0.0,32436,70,SN | SN | SN
bcn_licencias_limpio.csv,codi_barri,int64,44000,0,0.0,72,44000,16 | 65 | 27
bcn_licencias_limpio.csv,sn_obert24h,str,44000,0,0.0,2,0,No | No | No
bcn_licencias_limpio.csv,codi_activitat_2016,int64,44000,0,0.0,81,44000,333 | 333 | 222
bcn_licencias_limpio.csv,latitud,float64,44000,0,0.0,31603,44000,41.372246684 | 41.411501806 | 41.401005443
bcn_licencias_limpio.csv,codi_grup_activitat,int64,44000,0,0.0,18,44000,0 | 0 | 0
bcn_licencias_limpio.csv,sn_galeria,str,44000,0,0.0,2,0,No | No | No
bcn_licencias_limpio.csv,nom_districte,str,44000,0,0.0,10,0,Sants-Montjuïc | Sant Martí | Sarrià-Sant Gervasi
bcn_licencias_limpio.csv,nom_sector_activitat,str,44000,0,0.0,7,0,Locals buits en venda i lloguer | Locals buits en venda i lloguer | Locals buits en lloguer
bcn_licencias_limpio.csv,codi_parcela,int64,44000,0,0.0,115,44000,7 | 7 | 2
bcn_licencias_limpio.csv,nom_barri,str,44000,0,0.0,72,0,la Bordeta | el Clot | el Putxet i el Farró
